,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
0,,AA,9224.0,,1,,61666,,,2000
1,,AS,2493.0,,1,,12668,,,2000
2,,CO,4839.0,,1,,32813,,,2000
3,,DL,10777.0,,1,,78055,,,2000
4,,HP,3568.0,,1,,17819,,,2000
5,,NW,5795.0,,1,,44902,,,2000
6,,TW,3171.0,,1,,22343,,,2000
7,,UA,11422.0,,1,,64790,,,2000
8,,US,11336.0,,1,,61179,,,2000
9,,WN,15130.0,,1,,74242,,,2000
10,,AA,9054.0,,2,,58072,,,2000
11,,AS,3198.0,,2,,12019,,,2000
12,,CO,5078.0,,2,,31546,,,2000
13,,DL,9298.0,,2,,71090,,,2000
14,,HP,4238.0,,2,,16934,,,2000
15,,NW,5758.0,,2,,42887,,,2000
16,,TW,2796.0,,2,,21261,,,2000
17,,UA,12156.0,,2,,62029,,,2000
18,,US,9524.0,,2,,57935,,,2000
19,,WN,17538.0,,2,,70726,,,2000
20,,AA,10968.0,,3,,62759,,,2000
21,,AS,3043.0,,3,,13205,,,2000
22,,CO,4446.0,,3,,34461,,,2000
23,,DL,10397.0,,3,,78453,,,2000
24,,HP,5016.0,,3,,18627,,,2000
25,,NW,5584.0,,3,,46097,,,2000
26,,TW,3584.0,,3,,22994,,,2000
27,,UA,11762.0,,3,,67455,,,2000
28,,US,8257.0,,3,,62672,,,2000
29,,WN,19793.0,,3,,76221,,,2000
30,,AA,10308.0,,4,,60276,,,2000
31,,AS,2487.0,,4,,12374,,,2000
32,,CO,4626.0,,4,,32445,,,2000
33,,DL,10402.0,,4,,75247,,,2000
34,,HP,3636.0,,4,,18061,,,2000
35,,NW,5371.0,,4,,44157,,,2000
36,,TW,3209.0,,4,,22237,,,2000
37,,UA,14148.0,,4,,65095,,,2000
38,,US,10802.0,,4,,60048,,,2000
39,,WN,17221.0,,4,,73323,,,2000
40,,AA,10663.0,,5,,62081,,,2000
41,,AS,2141.0,,5,,12631,,,2000
42,,CO,5109.0,,5,,32968,,,2000
43,,DL,9545.0,,5,,76797,,,2000
44,,HP,4016.0,,5,,18620,,,2000
45,,NW,6094.0,,5,,45553,,,2000
46,,TW,4032.0,,5,,22738,,,2000
