,CarrierDel,CarrierID,Delays,DepState,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
0,116.0,,351.0,AK,199.0,1,252.0,2834,1.0,41.0,2013
1,177.0,,448.0,AL,308.0,1,250.0,2887,2.0,28.0,2013
2,205.0,,500.0,AR,318.0,1,341.0,2509,0.0,27.0,2013
3,1200.0,,2192.0,AZ,1010.0,1,1042.0,16769,34.0,18.0,2013
4,3769.0,,7741.0,CA,4476.0,1,4204.0,60664,37.0,189.0,2013
5,2715.0,,4941.0,CO,2523.0,1,2577.0,20583,19.0,190.0,2013
6,139.0,,222.0,CT,134.0,1,278.0,1753,2.0,23.0,2013
7,2835.0,,5870.0,FL,2899.0,1,2520.0,38378,20.0,96.0,2013
8,2355.0,,4525.0,GA,1736.0,1,2104.0,33662,8.0,252.0,2013
9,588.0,,897.0,HI,633.0,1,693.0,9109,4.0,18.0,2013
10,141.0,,386.0,IA,229.0,1,246.0,1983,1.0,48.0,2013
11,79.0,,230.0,ID,190.0,1,193.0,1498,1.0,22.0,2013
12,4061.0,,8186.0,IL,4284.0,1,4923.0,31824,3.0,1413.0,2013
13,233.0,,524.0,IN,337.0,1,402.0,3651,4.0,30.0,2013
14,52.0,,160.0,KS,107.0,1,93.0,1053,0.0,7.0,2013
15,346.0,,712.0,KY,399.0,1,497.0,5021,1.0,24.0,2013
16,356.0,,931.0,LA,621.0,1,448.0,5897,4.0,76.0,2013
17,686.0,,1023.0,MA,413.0,1,1309.0,8165,6.0,100.0,2013
18,783.0,,1221.0,MD,683.0,1,847.0,7819,1.0,35.0,2013
19,62.0,,97.0,ME,53.0,1,94.0,516,0.0,4.0,2013
20,1415.0,,2393.0,MI,1036.0,1,1964.0,15517,6.0,195.0,2013
21,1007.0,,1689.0,MN,687.0,1,1309.0,11901,4.0,92.0,2013
22,637.0,,1553.0,MO,920.0,1,806.0,9380,4.0,56.0,2013
23,74.0,,181.0,MS,125.0,1,93.0,1282,0.0,18.0,2013
24,44.0,,148.0,MT,107.0,1,137.0,1151,0.0,15.0,2013
25,1387.0,,2452.0,NC,1357.0,1,1927.0,17143,9.0,220.0,2013
26,129.0,,278.0,ND,166.0,1,212.0,1451,1.0,31.0,2013
27,107.0,,292.0,NE,175.0,1,182.0,1997,1.0,14.0,2013
28,56.0,,109.0,NH,64.0,1,142.0,793,4.0,6.0,2013
29,1618.0,,2412.0,NJ,1296.0,1,1955.0,9904,18.0,79.0,2013
30,144.0,,341.0,NM,202.0,1,110.0,2294,0.0,8.0,2013
31,878.0,,1905.0,NV,973.0,1,773.0,12504,25.0,38.0,2013
32,2121.0,,3582.0,NY,1797.0,1,2917.0,22933,23.0,269.0,2013
