,Cancelled,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
0,3599.0,,American Airlines Inc.,9224.0,,1,,61666,,,2000
1,475.0,,Alaska Airlines Inc.,2493.0,,1,,12668,,,2000
2,1311.0,,Continental Air Lines Inc.,4839.0,,1,,32813,,,2000
3,5227.0,,Delta Air Lines Inc.,10777.0,,1,,78055,,,2000
4,742.0,,US Airways,3568.0,,1,,17819,,,2000
5,2048.0,,Northwest Airlines Inc.,5795.0,,1,,44902,,,2000
6,681.0,,Trans World Airways LLC,3171.0,,1,,22343,,,2000
7,3561.0,,United Air Lines Inc.,11422.0,,1,,64790,,,2000
8,5597.0,,US Airways,11336.0,,1,,61179,,,2000
9,1274.0,,Southwest Airlines Co.,15130.0,,1,,74242,,,2000
10,2763.0,,American Airlines Inc.,9054.0,,2,,58072,,,2000
11,1061.0,,Alaska Airlines Inc.,3198.0,,2,,12019,,,2000
12,502.0,,Continental Air Lines Inc.,5078.0,,2,,31546,,,2000
13,2139.0,,Delta Air Lines Inc.,9298.0,,2,,71090,,,2000
14,977.0,,US Airways,4238.0,,2,,16934,,,2000
15,1318.0,,Northwest Airlines Inc.,5758.0,,2,,42887,,,2000
16,441.0,,Trans World Airways LLC,2796.0,,2,,21261,,,2000
17,3305.0,,United Air Lines Inc.,12156.0,,2,,62029,,,2000
18,1909.0,,US Airways,9524.0,,2,,57935,,,2000
19,773.0,,Southwest Airlines Co.,17538.0,,2,,70726,,,2000
20,1955.0,,American Airlines Inc.,10968.0,,3,,62759,,,2000
21,647.0,,Alaska Airlines Inc.,3043.0,,3,,13205,,,2000
22,295.0,,Continental Air Lines Inc.,4446.0,,3,,34461,,,2000
23,1553.0,,Delta Air Lines Inc.,10397.0,,3,,78453,,,2000
24,747.0,,US Airways,5016.0,,3,,18627,,,2000
25,694.0,,Northwest Airlines Inc.,5584.0,,3,,46097,,,2000
