,Cancelled,CarrierDel,CarrierID,Delays,DepState,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
0,194.0,,,581.0,AK,,1,,3245,,,2000
1,155.0,,,282.0,AL,,1,,2701,,,2000
2,51.0,,,121.0,AR,,1,,1127,,,2000
3,446.0,,,3568.0,AZ,,1,,17167,,,2000
4,2211.0,,,10707.0,CA,,1,,57762,,,2000
5,278.0,,,1716.0,CO,,1,,12727,,,2000
6,212.0,,,495.0,CT,,1,,3026,,,2000
7,936.0,,,4969.0,FL,,1,,30434,,,2000
8,1870.0,,,3983.0,GA,,1,,23433,,,2000
9,17.0,,,135.0,HI,,1,,1409,,,2000
10,39.0,,,109.0,IA,,1,,1053,,,2000
11,17.0,,,163.0,ID,,1,,934,,,2000
12,2056.0,,,6215.0,IL,,1,,29171,,,2000
13,132.0,,,412.0,IN,,1,,3140,,,2000
14,21.0,,,44.0,KS,,1,,505,,,2000
15,488.0,,,1184.0,KY,,1,,8727,,,2000
16,148.0,,,663.0,LA,,1,,5051,,,2000
17,1099.0,,,1715.0,MA,,1,,9167,,,2000
18,554.0,,,1576.0,MD,,1,,7093,,,2000
19,52.0,,,73.0,ME,,1,,489,,,2000
20,624.0,,,2297.0,MI,,1,,14392,,,2000
21,631.0,,,1887.0,MN,,1,,12236,,,2000
22,556.0,,,2983.0,MO,,1,,19525,,,2000
23,42.0,,,89.0,MS,,1,,878,,,2000
24,17.0,,,99.0,MT,,1,,995,,,2000
25,1595.0,,,2287.0,NC,,1,,15108,,,2000
26,22.0,,,39.0,ND,,1,,532,,,2000
27,28.0,,,204.0,NE,,1,,1649,,,2000
28,71.0,,,232.0,NH,,1,,1143,,,2000
29,962.0,,,1859.0,NJ,,1,,10287,,,2000
30,55.0,,,397.0,NM,,1,,2998,,,2000
31,232.0,,,3302.0,NV,,1,,14371,,,2000
32,1617.0,,,3177.0,NY,,1,,17992,,,2000
33,414.0,,,1195.0,OH,,1,,8951,,,2000
34,97.0,,,408.0,OK,,1,,3359,,,2000
35,134.0,,,760.0,OR,,1,,5127,,,2000
36,1621.0,,,3750.0,PA,,1,,19728,,,2000
37,57.0,,,365.0,PR,,1,,2090,,,2000
38,126.0,,,284.0,RI,,1,,2020,,,2000
39,193.0,,,158.0,SC,,1,,1735,,,2000
40,15.0,,,34.0,SD,,1,,421,,,2000
41,383.0,,,1388.0,TN,,1,,9718,,,2000
42,1717.0,,,6698.0,TX,,1,,51377,,,2000
43,129.0,,,971.0,UT,,1,,6823,,,2000
44,1839.0,,,2222.0,VA,,1,,16401,,,2000
45,10.0,,,53.0,VI,,1,,330,,,2000
46,13.0,,,36.0,VT,,1,,217,,,2000
47,230.0,,,1639.0,WA,,1,,9451,,,2000
48,92.0,,,185.0,WI,,1,,2019,,,2000
49,9.0,,,17.0,WV,,1,,114,,,2000
50,8.0,,,29.0,WY,,1,,129,,,2000
51,289.0,,,543.0,AK,,2,,3039,,,2000
52,58.0,,,277.0,AL,,2,,2546,,,2000
53,28.0,,,124.0,AR,,2,,1070,,,2000
54,495.0,,,4348.0,AZ,,2,,16445,,,2000
55,2668.0,,,13727.0,CA,,2,,54595,,,2000
56,249.0,,,1962.0,CO,,2,,12230,,,2000
57,74.0,,,398.0,CT,,2,,2743,,,2000
58,269.0,,,4296.0,FL,,2,,27932,,,2000
59,613.0,,,3481.0,GA,,2,,22096,,,2000
60,8.0,,,153.0,HI,,2,,1311,,,2000
61,45.0,,,91.0,IA,,2,,1043,,,2000
62,10.0,,,197.0,ID,,2,,883,,,2000
63,1923.0,,,5298.0,IL,,2,,27939,,,2000
64,87.0,,,395.0,IN,,2,,2989,,,2000
65,18.0,,,38.0,KS,,2,,481,,,2000
66,262.0,,,1019.0,KY,,2,,8192,,,2000
67,58.0,,,685.0,LA,,2,,4822,,,2000
68,536.0,,,1340.0,MA,,2,,8461,,,2000
69,115.0,,,1302.0,MD,,2,,6747,,,2000
